entry_date,exit_date,position,gross_return,net_return,gross_equity,net_equity,ticker,model,horizon,cost_bps,strategy
2020-04-16,2020-04-23,1,-0.04067112059302613,-0.041171120593026134,1.070629425540552,1.0653116863950727,AAPL,LightGBM,5,5.0,sign
2020-04-23,2020-04-30,1,0.06824706067331299,0.06774706067331299,1.1436967369040523,1.137483421849269,AAPL,LightGBM,5,5.0,sign
2020-04-30,2020-05-07,1,0.03383254885773046,0.03333254885773046,1.1823909126337855,1.1753986435829185,AAPL,LightGBM,5,5.0,sign
2020-05-07,2020-05-14,1,0.01909533975447686,0.01859533975447686,1.2049690688331336,1.1972555807072942,AAPL,LightGBM,5,5.0,sign
2020-05-14,2020-05-21,1,0.023615679255668542,0.023115679255668542,1.2334252318756984,1.2249309566979834,AAPL,LightGBM,5,5.0,sign
2020-05-21,2020-05-29,1,0.0034401019942997824,0.0029401019942997824,1.2376683404756936,1.2285323786466507,AAPL,LightGBM,5,5.0,sign
2020-05-29,2020-06-05,1,0.04264954851377256,0.04214954851377256,1.2904543364067722,1.280314463741158,AAPL,LightGBM,5,5.0,sign
2020-06-05,2020-06-12,1,0.022021079315139414,0.021521079315139413,1.3188715337013512,1.3078682128636518,AAPL,LightGBM,5,5.0,sign
2020-06-12,2020-06-19,1,0.03223144575320136,0.03173144575320136,1.3613806699952877,1.3493687621124713,AAPL,LightGBM,5,5.0,sign
2020-06-19,2020-06-26,1,0.011180383302245911,0.01068038330224591,1.3766014277061034,1.3637805377079095,AAPL,LightGBM,5,5.0,sign
2020-06-26,2020-07-06,-1,-0.05717840947179731,-0.05767840947179731,1.297889547593263,1.285119845424325,AAPL,LightGBM,5,5.0,sign
2020-07-06,2020-07-13,1,0.021559442094437165,0.021059442094437164,1.3258713221395753,1.3121837523934505,AAPL,LightGBM,5,5.0,sign
2020-07-13,2020-07-20,1,0.030164145749541627,0.029664145749541626,1.365865097945731,1.3511085624746304,AAPL,LightGBM,5,5.0,sign
2020-07-20,2020-07-27,1,-0.036067414039528956,-0.036567414039528956,1.3166018759359805,1.301702016258268,AAPL,LightGBM,5,5.0,sign
